Source,Target,Weight,Type
tweet4,tweet418,1.0,Undirected
tweet4,tweet419,1.0,Undirected
tweet4,tweet421,1.0,Undirected
tweet4,tweet423,1.0,Undirected
tweet4,tweet424,1.0,Undirected
tweet4,tweet426,1.0,Undirected
tweet4,tweet427,1.0,Undirected
tweet4,tweet428,1.0,Undirected
tweet4,tweet429,1.0,Undirected
tweet4,tweet432,1.0,Undirected
tweet4,tweet433,1.0,Undirected
tweet4,tweet438,1.0,Undirected
tweet4,tweet439,1.0,Undirected
tweet4,tweet440,1.0,Undirected
tweet4,tweet442,1.0,Undirected
tweet4,tweet443,1.0,Undirected
tweet4,tweet444,1.0,Undirected
tweet4,tweet446,1.0,Undirected
tweet4,tweet448,1.0,Undirected
tweet4,tweet450,1.0,Undirected
tweet4,tweet451,1.0,Undirected
tweet4,tweet453,1.0,Undirected
tweet4,tweet455,1.0,Undirected
tweet4,tweet456,1.0,Undirected
tweet4,tweet457,1.0,Undirected
tweet4,tweet458,1.0,Undirected
tweet4,tweet459,1.0,Undirected
tweet4,tweet460,1.0,Undirected
tweet4,tweet461,1.0,Undirected
tweet4,tweet462,1.0,Undirected
tweet4,tweet463,1.0,Undirected
tweet4,tweet465,1.0,Undirected
tweet4,tweet466,1.0,Undirected
tweet4,tweet468,1.0,Undirected
tweet4,tweet470,1.0,Undirected
tweet4,tweet471,1.0,Undirected
tweet4,tweet472,1.0,Undirected
tweet4,tweet475,1.0,Undirected
